Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Modal,Large,Exit Intent,Bold,No,Center,Ad,Well-Defined
Banner,Large,Exit Intent,Modern,Yes,Full Page,Alert,Well-Defined
Fullscreen,Medium,Click,Soft,Yes,Bottom Right,Recommendation,Well-Defined
Dialog,Medium,Exit Intent,Soft,No,Full Page,Ad,Well-Defined
Notification Bar,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Modal,Medium,Scroll,Modern,No,Top,Ad,Well-Defined
Notification Bar,Medium,Hover,Simple,Yes,Bottom,Offer,Less Well-Defined
Dialog,Small,Timer,Bold,Yes,Bottom,Help,Less Well-Defined
Banner,Large,On Load,Soft,Yes,Full Page,Recommendation,Ambiguous
Slide-in,Thin,Timer,Basic,No,Top,Ad,Ambiguous
Floating Box,Small,Hover,Aggressive,No,Top,Help,Ambiguous
Banner,Large,On Load,Soft,Yes,Bottom Right,Ad,Ambiguous
Fullscreen,Large,Click,Modern,No,Top,Ad,Well-Defined
Exit Popup,Thin,Page Load,Intrusive,No,Center,Reminder,Ambiguous
Notification Bar,Small,On Load,Flat,Yes,Bottom,Help,Less Well-Defined
Dialog,Large,Click,Modern,No,Full Page,Recommendation,Well-Defined
Slide-in,Medium,On Load,Bold,Yes,Bottom Left,Help,Less Well-Defined
Tooltip,Small,Hover,Aggressive,Yes,Top Right,Ad,Ambiguous
Slide-in,Small,Hover,Flat,Yes,Bottom,Discount,Less Well-Defined
Slide-in,Medium,Hover,Clean,Yes,Bottom,Newsletter,Less Well-Defined
Dialog,Medium,Click,Modern,Yes,Full Page,Alert,Well-Defined
Tooltip,Thin,Timer,Intrusive,Yes,Top Right,Help,Ambiguous
Slide-in,Medium,Page Load,Flat,Yes,Top Right,Help,Ambiguous
Floating Box,Medium,Hover,Flat,Yes,Center,Ad,Ambiguous
Slide-in,Small,Page Load,Basic,Yes,Top,Ad,Ambiguous
Floating Box,Medium,Page Load,Intrusive,No,Top Right,Survey,Ambiguous
Floating Box,Medium,Timer,Aggressive,Yes,Top Right,Help,Ambiguous
Modal,Large,Click,Soft,No,Center,Alert,Well-Defined
Dialog,Medium,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Tooltip,Medium,Hover,Aggressive,No,Top,Help,Ambiguous
Banner,Large,Exit Intent,Bold,No,Center,Recommendation,Well-Defined
Exit Popup,Thin,Page Load,Flat,No,Top Right,Help,Ambiguous
Dialog,Large,Scroll,Modern,Yes,Full Page,Ad,Well-Defined
Fullscreen,Large,Scroll,Clean,Yes,Top,Ad,Well-Defined
Banner,Medium,Scroll,Modern,Yes,Full Page,Offer,Less Well-Defined
Dialog,Large,Scroll,Soft,Yes,Center,Alert,Well-Defined
Notification Bar,Medium,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,On Load,Bold,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Tooltip,Small,Hover,Basic,No,Top Right,Help,Ambiguous
Banner,Small,On Load,Simple,No,Bottom Left,Discount,Less Well-Defined
Tooltip,Thin,Page Load,Intrusive,Yes,Top,Reminder,Ambiguous
Exit Popup,Small,Hover,Basic,No,Top,Survey,Ambiguous
Dialog,Medium,Click,Bold,No,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Hover,Bold,No,Top Left,Discount,Less Well-Defined
Slide-in,Medium,Hover,Basic,Yes,Center,Help,Ambiguous
Fullscreen,Medium,Scroll,Soft,Yes,Center,Recommendation,Well-Defined
Banner,Medium,Timer,Simple,Yes,Top Left,Offer,Less Well-Defined
Banner,Large,Click,Soft,Yes,Center,Ad,Ambiguous
Slide-in,Medium,On Load,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Banner,Large,Scroll,Clean,Yes,Top,Alert,Well-Defined
Tooltip,Medium,Hover,Flat,No,Top,Reminder,Ambiguous
Banner,Small,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Banner,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Modal,Medium,Click,Modern,Yes,Bottom Right,Ad,Ambiguous
Dialog,Medium,Scroll,Soft,No,Bottom Right,Alert,Well-Defined
Tooltip,Thin,Hover,Intrusive,No,Top,Survey,Ambiguous
Dialog,Large,Exit Intent,Clean,Yes,Center,Ad,Well-Defined
Exit Popup,Small,Timer,Intrusive,Yes,Center,Ad,Ambiguous
Fullscreen,Large,Click,Modern,No,Full Page,Alert,Well-Defined
Notification Bar,Small,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Timer,Bold,No,Bottom Left,Discount,Less Well-Defined
Dialog,Large,Click,Clean,Yes,Bottom Right,Alert,Well-Defined
Modal,Large,Exit Intent,Modern,Yes,Top,Offer,Well-Defined
Notification Bar,Small,Timer,Flat,No,Bottom,Offer,Less Well-Defined
Fullscreen,Large,On Load,Bold,No,Full Page,Offer,Well-Defined
Banner,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Notification Bar,Small,On Load,Flat,No,Top Left,Offer,Less Well-Defined
Banner,Medium,Exit Intent,Soft,Yes,Top,Recommendation,Well-Defined
Slide-in,Medium,Hover,Intrusive,No,Center,Survey,Ambiguous
Banner,Medium,On Load,Bold,Yes,Top Left,Offer,Less Well-Defined
Tooltip,Thin,Hover,Basic,No,Top,Survey,Ambiguous
Notification Bar,Medium,On Load,Bold,No,Bottom Left,Offer,Less Well-Defined
Dialog,Large,Click,Soft,Yes,Top,Offer,Well-Defined
Slide-in,Medium,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,Hover,Aggressive,Yes,Top,Help,Ambiguous
Tooltip,Thin,Hover,Basic,Yes,Top Right,Reminder,Ambiguous
Dialog,Medium,Scroll,Modern,No,Full Page,Alert,Well-Defined
Floating Box,Small,Hover,Aggressive,No,Center,Help,Well-Defined
Tooltip,Medium,Hover,Aggressive,Yes,Center,Help,Ambiguous
Modal,Medium,Exit Intent,Modern,No,Center,Alert,Well-Defined
Tooltip,Medium,Hover,Intrusive,Yes,Top,Help,Ambiguous
Slide-in,Medium,On Load,Bold,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Small,Page Load,Flat,No,Center,Reminder,Ambiguous
Banner,Medium,Scroll,Soft,No,Bottom Right,Alert,Well-Defined
Floating Box,Small,Hover,Intrusive,Yes,Top Right,Help,Ambiguous
Banner,Large,Click,Bold,No,Full Page,Ad,Well-Defined
Modal,Medium,Scroll,Soft,No,Full Page,Ad,Less Well-Defined
Banner,Medium,Exit Intent,Bold,No,Center,Ad,Ambiguous
Modal,Large,Scroll,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Dialog,Small,Hover,Flat,No,Bottom,Discount,Less Well-Defined
Dialog,Large,Scroll,Modern,Yes,Center,Recommendation,Well-Defined
Slide-in,Medium,Timer,Basic,Yes,Top,Survey,Ambiguous
Exit Popup,Thin,Page Load,Aggressive,Yes,Top,Survey,Ambiguous
Banner,Small,Timer,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Medium,Click,Clean,Yes,Bottom Right,Alert,Well-Defined
Floating Box,Thin,Timer,Basic,No,Top Right,Reminder,Ambiguous
Notification Bar,Small,Hover,Flat,Yes,Bottom,Offer,Less Well-Defined
Dialog,Large,Scroll,Modern,No,Full Page,Alert,Well-Defined
Slide-in,Small,On Load,Bold,No,Bottom,Help,Less Well-Defined
Notification Bar,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Small,Page Load,Basic,No,Top,Help,Ambiguous
Fullscreen,Large,Click,Modern,No,Center,Recommendation,Ambiguous
Dialog,Large,Exit Intent,Soft,Yes,Top,Recommendation,Well-Defined
Exit Popup,Thin,Page Load,Basic,No,Center,Help,Ambiguous
Notification Bar,Medium,On Load,Clean,No,Bottom Left,Newsletter,Less Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Top,Recommendation,Well-Defined
Floating Box,Small,Page Load,Aggressive,Yes,Top,Reminder,Ambiguous
Modal,Medium,Exit Intent,Soft,No,Top,Recommendation,Well-Defined
Banner,Small,Timer,Clean,Yes,Bottom Left,Offer,Less Well-Defined
Notification Bar,Small,On Load,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Large,Scroll,Soft,Yes,Full Page,Ad,Well-Defined
Fullscreen,Medium,Exit Intent,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Medium,Timer,Clean,No,Bottom,Discount,Less Well-Defined
Banner,Medium,On Load,Flat,No,Bottom,Help,Less Well-Defined
Tooltip,Small,Page Load,Intrusive,No,Top,Survey,Ambiguous
Modal,Large,Scroll,Soft,Yes,Full Page,Alert,Well-Defined
Modal,Medium,Exit Intent,Modern,No,Full Page,Ad,Well-Defined
Fullscreen,Large,Click,Clean,No,Full Page,Alert,Well-Defined
Slide-in,Thin,Timer,Aggressive,No,Top Right,Ad,Ambiguous
Fullscreen,Large,Exit Intent,Clean,No,Center,Ad,Well-Defined
Banner,Large,On Load,Clean,No,Center,Recommendation,Well-Defined
Dialog,Large,Click,Soft,Yes,Bottom Right,Alert,Well-Defined
Banner,Medium,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Small,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Click,Modern,No,Bottom Right,Alert,Well-Defined
Tooltip,Thin,Page Load,Basic,No,Top,Help,Ambiguous
Dialog,Large,Click,Soft,Yes,Full Page,Recommendation,Well-Defined
Floating Box,Medium,Page Load,Aggressive,No,Center,Reminder,Well-Defined
Tooltip,Small,Timer,Basic,Yes,Top Right,Ad,Ambiguous
Banner,Small,On Load,Clean,No,Bottom,Offer,Less Well-Defined
Banner,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Fullscreen,Large,Scroll,Soft,No,Bottom Right,Recommendation,Ambiguous
Dialog,Medium,On Load,Modern,No,Center,Ad,Well-Defined
Banner,Large,On Load,Soft,Yes,Full Page,Ad,Well-Defined
Tooltip,Small,Timer,Aggressive,Yes,Top Right,Survey,Ambiguous
Modal,Medium,Click,Bold,No,Center,Recommendation,Well-Defined
Fullscreen,Medium,Click,Modern,No,Top,Recommendation,Well-Defined
Banner,Medium,On Load,Modern,Yes,Bottom Right,Ad,Well-Defined
Modal,Medium,Scroll,Soft,No,Full Page,Ad,Ambiguous
Exit Popup,Small,Page Load,Intrusive,No,Top Right,Survey,Ambiguous
Banner,Medium,On Load,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Large,Click,Bold,Yes,Center,Alert,Well-Defined
Slide-in,Medium,Hover,Simple,Yes,Bottom,Newsletter,Less Well-Defined
Dialog,Small,On Load,Clean,Yes,Top Left,Discount,Well-Defined
Dialog,Small,Hover,Clean,Yes,Bottom,Discount,Less Well-Defined
Dialog,Large,Click,Clean,Yes,Top,Ad,Well-Defined
Exit Popup,Medium,Hover,Aggressive,No,Top Right,Help,Ambiguous
Tooltip,Medium,Hover,Basic,No,Center,Reminder,Ambiguous
Slide-in,Small,Page Load,Aggressive,No,Top Right,Help,Ambiguous
Banner,Medium,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,Scroll,Soft,No,Bottom Right,Ad,Well-Defined
Dialog,Large,Exit Intent,Bold,No,Full Page,Alert,Well-Defined
Dialog,Medium,Hover,Flat,No,Top Left,Offer,Less Well-Defined
Modal,Large,Click,Soft,Yes,Bottom Right,Alert,Well-Defined
Notification Bar,Medium,On Load,Bold,Yes,Bottom,Newsletter,Less Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Center,Reminder,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,No,Top,Reminder,Ambiguous
Slide-in,Thin,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Banner,Large,Scroll,Soft,Yes,Center,Ad,Well-Defined
Exit Popup,Thin,Hover,Basic,Yes,Top,Help,Ambiguous
Banner,Medium,Scroll,Bold,Yes,Full Page,Offer,Well-Defined
Exit Popup,Small,Hover,Flat,No,Top,Survey,Less Well-Defined
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Banner,Medium,On Load,Simple,Yes,Bottom,Offer,Less Well-Defined
Slide-in,Small,Timer,Bold,No,Top Left,Discount,Less Well-Defined
Slide-in,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Exit Popup,Small,Hover,Intrusive,Yes,Top Right,Survey,Ambiguous
Floating Box,Medium,Hover,Flat,Yes,Top,Reminder,Ambiguous
Floating Box,Small,Hover,Basic,Yes,Top,Help,Ambiguous
Banner,Small,Timer,Flat,Yes,Top Left,Offer,Less Well-Defined
Banner,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Fullscreen,Medium,On Load,Clean,No,Full Page,Alert,Well-Defined
Dialog,Medium,Click,Bold,No,Center,Ad,Well-Defined
Dialog,Small,Hover,Clean,Yes,Bottom,Offer,Ambiguous
Modal,Large,Exit Intent,Bold,Yes,Bottom Right,Ad,Well-Defined
Fullscreen,Large,Exit Intent,Bold,No,Center,Ad,Well-Defined
Floating Box,Small,Hover,Intrusive,No,Center,Help,Well-Defined
Dialog,Medium,Hover,Clean,Yes,Bottom,Help,Less Well-Defined
Exit Popup,Medium,Page Load,Aggressive,Yes,Top,Survey,Less Well-Defined
Fullscreen,Large,Click,Soft,Yes,Center,Alert,Less Well-Defined
Exit Popup,Thin,Timer,Intrusive,Yes,Top,Reminder,Ambiguous
Slide-in,Thin,Hover,Aggressive,Yes,Top Right,Help,Ambiguous
Fullscreen,Medium,Scroll,Soft,No,Center,Recommendation,Well-Defined
Banner,Small,Timer,Bold,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Banner,Small,Timer,Simple,No,Bottom,Help,Less Well-Defined
Floating Box,Medium,Timer,Basic,Yes,Top,Help,Ambiguous
Dialog,Large,Scroll,Bold,Yes,Top,Ad,Well-Defined
Modal,Large,Click,Modern,No,Top,Alert,Well-Defined
Slide-in,Small,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Modal,Medium,Exit Intent,Clean,Yes,Center,Offer,Well-Defined
Notification Bar,Medium,Hover,Clean,Yes,Bottom,Offer,Less Well-Defined
Dialog,Small,On Load,Simple,No,Bottom,Newsletter,Less Well-Defined
Tooltip,Thin,Page Load,Intrusive,No,Center,Help,Ambiguous
Exit Popup,Thin,Hover,Flat,Yes,Top Right,Reminder,Less Well-Defined
Notification Bar,Medium,Hover,Bold,No,Top Left,Help,Less Well-Defined
Fullscreen,Medium,Exit Intent,Modern,Yes,Full Page,Ad,Well-Defined
Banner,Medium,Exit Intent,Clean,Yes,Top,Ad,Well-Defined
Dialog,Small,On Load,Bold,No,Bottom,Discount,Less Well-Defined
Floating Box,Thin,Timer,Aggressive,No,Center,Survey,Ambiguous
Dialog,Large,Exit Intent,Modern,Yes,Top,Recommendation,Well-Defined
Floating Box,Small,Timer,Aggressive,No,Center,Ad,Ambiguous
Banner,Small,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Banner,Medium,On Load,Simple,No,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,Exit Intent,Bold,Yes,Bottom Right,Offer,Well-Defined
Fullscreen,Large,Click,Modern,Yes,Center,Ad,Well-Defined
Banner,Medium,Exit Intent,Bold,Yes,Full Page,Offer,Well-Defined
Exit Popup,Thin,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Top,Ad,Well-Defined
Banner,Medium,On Load,Modern,No,Full Page,Alert,Well-Defined
Modal,Large,Exit Intent,Modern,Yes,Center,Ad,Well-Defined
Fullscreen,Large,Exit Intent,Soft,No,Center,Recommendation,Well-Defined
Slide-in,Small,On Load,Clean,Yes,Bottom Left,Help,Less Well-Defined
Slide-in,Small,Hover,Simple,Yes,Top Left,Newsletter,Less Well-Defined
Banner,Small,Hover,Clean,No,Bottom Left,Offer,Less Well-Defined
Dialog,Medium,Exit Intent,Soft,Yes,Top,Recommendation,Well-Defined
Slide-in,Small,Page Load,Aggressive,Yes,Top,Help,Ambiguous
Slide-in,Small,Page Load,Flat,Yes,Center,Survey,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Dialog,Medium,Exit Intent,Soft,No,Full Page,Offer,Ambiguous
Fullscreen,Large,Exit Intent,Bold,Yes,Top,Alert,Well-Defined
Modal,Medium,Exit Intent,Bold,No,Full Page,Ad,Well-Defined
Slide-in,Medium,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Exit Popup,Thin,Hover,Basic,Yes,Top Right,Reminder,Ambiguous
Slide-in,Small,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Dialog,Large,On Load,Clean,Yes,Bottom Right,Alert,Well-Defined
Floating Box,Small,Hover,Aggressive,No,Center,Reminder,Ambiguous
Banner,Small,On Load,Simple,No,Top Left,Help,Less Well-Defined
Slide-in,Small,Hover,Clean,Yes,Bottom,Discount,Well-Defined
Banner,Medium,On Load,Flat,Yes,Top Left,Help,Less Well-Defined
Exit Popup,Small,Timer,Intrusive,Yes,Center,Survey,Ambiguous
Exit Popup,Small,Page Load,Aggressive,No,Top Right,Survey,Ambiguous
Fullscreen,Medium,Scroll,Bold,No,Top,Alert,Well-Defined
Dialog,Medium,Scroll,Modern,No,Full Page,Offer,Well-Defined
Exit Popup,Small,Page Load,Basic,Yes,Top,Reminder,Ambiguous
Exit Popup,Thin,Hover,Intrusive,No,Top,Help,Ambiguous
Dialog,Medium,Scroll,Clean,Yes,Top,Alert,Well-Defined
Exit Popup,Thin,Hover,Intrusive,No,Top Right,Reminder,Ambiguous
Exit Popup,Small,Hover,Aggressive,No,Top,Survey,Ambiguous
Slide-in,Small,On Load,Clean,Yes,Bottom,Help,Less Well-Defined
Banner,Medium,Hover,Bold,Yes,Top Left,Discount,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Modal,Large,Click,Modern,Yes,Center,Ad,Well-Defined
Notification Bar,Small,On Load,Flat,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Click,Soft,No,Bottom Right,Ad,Well-Defined
Dialog,Small,On Load,Simple,Yes,Top Left,Discount,Less Well-Defined
Modal,Medium,Exit Intent,Modern,No,Bottom Right,Recommendation,Well-Defined
Notification Bar,Medium,On Load,Clean,Yes,Top Left,Offer,Less Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Timer,Simple,No,Bottom Left,Discount,Less Well-Defined
Fullscreen,Medium,Scroll,Soft,No,Full Page,Ad,Well-Defined
Notification Bar,Medium,Hover,Bold,Yes,Bottom,Offer,Less Well-Defined
Notification Bar,Medium,Timer,Simple,Yes,Top Left,Discount,Less Well-Defined
Banner,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Modal,Medium,Scroll,Bold,Yes,Top,Alert,Well-Defined
Floating Box,Small,Hover,Basic,No,Top,Ad,Ambiguous
Banner,Small,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Fullscreen,Large,On Load,Clean,No,Center,Alert,Well-Defined
Exit Popup,Small,Timer,Aggressive,No,Top,Help,Ambiguous
Exit Popup,Thin,Timer,Basic,Yes,Top,Survey,Well-Defined
Notification Bar,Small,On Load,Flat,No,Bottom Left,Discount,Less Well-Defined
Exit Popup,Medium,Page Load,Basic,No,Top,Ad,Ambiguous
Slide-in,Small,Hover,Flat,Yes,Top,Help,Ambiguous
Banner,Medium,On Load,Bold,Yes,Bottom,Help,Less Well-Defined
Tooltip,Medium,Timer,Basic,Yes,Top Right,Reminder,Ambiguous
Exit Popup,Small,Page Load,Basic,No,Top Right,Help,Ambiguous
Tooltip,Small,Page Load,Basic,Yes,Center,Ad,Ambiguous
Fullscreen,Medium,Exit Intent,Soft,No,Bottom Right,Ad,Well-Defined
Slide-in,Thin,Timer,Flat,Yes,Top,Survey,Ambiguous
Floating Box,Thin,Page Load,Basic,No,Top,Reminder,Ambiguous
Notification Bar,Medium,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Tooltip,Small,Page Load,Intrusive,Yes,Top,Reminder,Ambiguous
Dialog,Medium,On Load,Modern,Yes,Bottom Right,Ad,Less Well-Defined
Dialog,Medium,Scroll,Modern,No,Full Page,Alert,Well-Defined
Exit Popup,Medium,Hover,Aggressive,Yes,Center,Help,Ambiguous
Banner,Small,On Load,Clean,No,Top Left,Newsletter,Less Well-Defined
Dialog,Large,Scroll,Modern,Yes,Full Page,Alert,Well-Defined
Banner,Medium,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Medium,Hover,Bold,Yes,Bottom,Help,Less Well-Defined
Dialog,Large,Click,Clean,Yes,Center,Ad,Well-Defined
Tooltip,Small,Hover,Intrusive,Yes,Top,Help,Ambiguous
Banner,Small,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Simple,No,Top Left,Help,Less Well-Defined
Slide-in,Medium,Page Load,Intrusive,Yes,Center,Help,Ambiguous
Banner,Medium,On Load,Modern,No,Bottom Right,Ad,Well-Defined
Modal,Medium,Exit Intent,Soft,Yes,Bottom Right,Recommendation,Well-Defined
Tooltip,Thin,Page Load,Aggressive,Yes,Top,Reminder,Ambiguous
Banner,Small,Hover,Simple,Yes,Bottom,Discount,Less Well-Defined
Slide-in,Medium,Timer,Clean,No,Bottom,Discount,Less Well-Defined
Notification Bar,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Modal,Large,Scroll,Modern,Yes,Full Page,Recommendation,Well-Defined
Dialog,Small,On Load,Simple,No,Bottom,Offer,Less Well-Defined
Tooltip,Medium,Timer,Aggressive,No,Top,Reminder,Ambiguous
Tooltip,Thin,Hover,Intrusive,No,Top,Reminder,Ambiguous
Modal,Large,Click,Clean,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Small,Timer,Basic,No,Top,Survey,Ambiguous
Tooltip,Thin,Hover,Flat,Yes,Top Right,Survey,Ambiguous
Fullscreen,Large,Exit Intent,Clean,Yes,Center,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Center,Survey,Ambiguous
Exit Popup,Small,Hover,Intrusive,Yes,Top,Reminder,Ambiguous
Banner,Large,Click,Modern,Yes,Top,Recommendation,Well-Defined
Floating Box,Medium,Hover,Intrusive,No,Top Right,Reminder,Well-Defined
Notification Bar,Small,On Load,Flat,No,Top Left,Newsletter,Less Well-Defined
Floating Box,Small,Page Load,Basic,No,Top,Reminder,Ambiguous
Slide-in,Small,Page Load,Flat,No,Top Right,Help,Well-Defined
Slide-in,Medium,Hover,Basic,No,Center,Help,Ambiguous
Modal,Medium,On Load,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Floating Box,Medium,Page Load,Intrusive,Yes,Top Right,Ad,Ambiguous
Dialog,Small,Hover,Bold,No,Bottom,Discount,Well-Defined
Tooltip,Thin,Hover,Flat,No,Center,Ad,Ambiguous
Banner,Small,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Timer,Flat,No,Top,Survey,Ambiguous
Dialog,Medium,Scroll,Clean,No,Full Page,Recommendation,Well-Defined
Tooltip,Thin,Hover,Flat,No,Top Right,Survey,Ambiguous
Fullscreen,Large,Scroll,Bold,No,Top,Recommendation,Well-Defined
Exit Popup,Small,Page Load,Aggressive,No,Top Right,Reminder,Ambiguous
Banner,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Top Right,Help,Ambiguous
Fullscreen,Medium,Scroll,Bold,Yes,Full Page,Recommendation,Well-Defined
Dialog,Large,Exit Intent,Modern,Yes,Bottom Right,Ad,Well-Defined
Slide-in,Small,On Load,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Fullscreen,Medium,Click,Clean,Yes,Center,Alert,Well-Defined
Fullscreen,Medium,On Load,Soft,No,Top,Recommendation,Well-Defined
Dialog,Small,Timer,Clean,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,Scroll,Modern,No,Center,Alert,Well-Defined
Floating Box,Thin,Timer,Aggressive,No,Center,Help,Ambiguous
Modal,Medium,Click,Soft,No,Full Page,Ad,Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Top Right,Ad,Less Well-Defined
Dialog,Large,Exit Intent,Modern,No,Top,Alert,Well-Defined
Dialog,Medium,Exit Intent,Soft,No,Bottom Right,Ad,Well-Defined
Fullscreen,Large,On Load,Modern,Yes,Top,Recommendation,Well-Defined
Exit Popup,Small,Hover,Intrusive,No,Top,Reminder,Ambiguous
Notification Bar,Small,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Top,Survey,Ambiguous
Banner,Small,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Exit Popup,Small,Hover,Basic,No,Top Right,Reminder,Ambiguous
Floating Box,Thin,Hover,Intrusive,No,Top,Reminder,Ambiguous
Exit Popup,Small,Hover,Intrusive,No,Top,Help,Ambiguous
Slide-in,Medium,Timer,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Large,Exit Intent,Clean,Yes,Bottom Right,Ad,Well-Defined
Modal,Large,Click,Modern,Yes,Full Page,Recommendation,Well-Defined
Floating Box,Medium,Hover,Intrusive,No,Top Right,Help,Ambiguous
Modal,Medium,Click,Soft,Yes,Center,Recommendation,Well-Defined
Floating Box,Small,Page Load,Aggressive,Yes,Top Right,Help,Ambiguous
Floating Box,Small,Hover,Flat,No,Top,Reminder,Well-Defined
Floating Box,Medium,Timer,Intrusive,Yes,Center,Survey,Ambiguous
Banner,Medium,Click,Bold,No,Top,Recommendation,Well-Defined
Modal,Medium,On Load,Modern,No,Full Page,Recommendation,Well-Defined
Exit Popup,Small,Page Load,Flat,Yes,Top Right,Reminder,Ambiguous
Banner,Medium,On Load,Clean,Yes,Center,Offer,Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Exit Popup,Small,Timer,Flat,Yes,Top Right,Survey,Ambiguous
Fullscreen,Medium,On Load,Clean,Yes,Top,Offer,Well-Defined
Banner,Small,Timer,Clean,No,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,On Load,Soft,No,Full Page,Recommendation,Well-Defined
Floating Box,Thin,Timer,Flat,Yes,Top Right,Help,Ambiguous
Slide-in,Small,Hover,Flat,No,Top,Reminder,Ambiguous
Exit Popup,Thin,Page Load,Intrusive,No,Top Right,Survey,Ambiguous
Slide-in,Medium,Timer,Flat,Yes,Bottom,Help,Well-Defined
Floating Box,Thin,Timer,Basic,No,Center,Ad,Ambiguous
Tooltip,Medium,Timer,Aggressive,Yes,Top,Ad,Ambiguous
Slide-in,Small,Timer,Flat,No,Center,Survey,Ambiguous
Exit Popup,Thin,Hover,Basic,No,Top,Reminder,Ambiguous
Banner,Medium,Click,Soft,Yes,Full Page,Alert,Well-Defined
Slide-in,Small,On Load,Simple,Yes,Bottom Left,Discount,Less Well-Defined
Notification Bar,Small,Hover,Bold,Yes,Top Left,Help,Less Well-Defined
Modal,Medium,Click,Bold,No,Bottom Right,Recommendation,Well-Defined
Modal,Medium,Scroll,Modern,No,Bottom Right,Alert,Well-Defined
